,LoanID,Age,Income,LoanAmount,CreditScore,MonthsEmployed,NumCreditLines,InterestRate,LoanTerm,DTIRatio,Education,EmploymentType,MaritalStatus,HasMortgage,HasDependents,LoanPurpose,HasCoSigner,Default
74374,Y2YC4ZVYEK,55,26489,169641,571,88,4,14.26,24,0.71,High School,Self-employed,Single,0,Yes,Business,1,0
110083,6RC7PI9KEA,64,35499,166074,766,46,1,8.51,12,0.2,Master's,Full-time,Married,0,No,Business,0,0
118941,SBPXH09GEV,19,144773,163558,849,55,3,10.34,36,0.89,PhD,Self-employed,Single,1,Yes,Home,0,0
201010,BZKO0B4IWB,43,27115,241972,502,119,4,21.36,60,0.37,High School,Self-employed,Single,0,Yes,Home,1,1
72415,9YQCBSBL7I,34,66030,63731,360,7,1,8.72,12,0.43,Master's,Full-time,Divorced,1,Yes,Education,0,0
28544,54HLMH4BED,35,26126,138256,376,9,2,13.96,24,0.72,High School,Full-time,Married,0,Yes,Business,0,0
81584,IH50A0STGN,19,138383,126064,721,82,1,15.58,60,0.9,Bachelor's,Part-time,Married,0,Yes,Home,0,0
9600,KKMNA4J39A,18,55717,152388,849,31,1,3.05,60,0.31,Bachelor's,Self-employed,Divorced,0,No,Education,0,0
165039,VMNHZQI12W,29,69503,197761,427,84,3,21.08,12,0.38,High School,Self-employed,Married,1,No,Other,0,0
76603,5QXGV0CA0E,20,18366,116145,310,77,3,20.39,60,0.81,Bachelor's,Unemployed,Married,1,No,Home,1,0
91779,4BJ697D7CK,55,131699,217245,780,98,1,18.63,12,0.2,Bachelor's,Self-employed,Married,0,Yes,Education,1,0
223770,I1TUVD5G85,26,136963,236536,749,116,4,17.74,48,0.48,PhD,Part-time,Married,1,Yes,Business,0,0
139398,V6YSM3ZJR2,53,119123,165026,389,41,2,21.53,36,0.42,PhD,Part-time,Divorced,0,No,Auto,1,0
20660,DB3RD4N7XS,23,87803,55650,414,105,1,8.07,60,0.83,Bachelor's,Part-time,Divorced,0,No,Auto,0,0
95410,HG5XM4DUMN,60,65906,92271,388,41,4,15.21,36,0.65,Bachelor's,Unemployed,Married,0,No,Education,1,0
205178,QEELAROWUE,28,66260,103890,744,77,3,4.21,12,0.6,PhD,Part-time,Divorced,0,No,Education,1,0
17460,N7MKI14DMX,39,40897,208073,449,74,4,3.93,36,0.54,PhD,Part-time,Single,0,No,Education,1,0
93427,X8M8Q3RYIU,57,133275,109313,830,111,1,12.82,48,0.29,PhD,Full-time,Married,0,Yes,Business,0,0
147594,BGQI00S8RG,50,75456,41442,465,96,4,24.77,60,0.79,Bachelor's,Full-time,Single,1,Yes,Business,0,0
183246,YME06ERZ3J,43,69190,17554,716,113,3,19.14,60,0.64,Master's,Unemployed,Single,0,No,Auto,1,0
181044,31CIUKX2AF,37,91800,174082,583,56,2,13.34,60,0.23,Master's,Part-time,Single,0,Yes,Business,1,0
193557,3HXIE3TKUH,40,112217,146377,709,97,1,10.32,48,0.72,PhD,Part-time,Single,1,No,Other,0,0
174373,4A072FJY6C,43,60708,145037,816,102,4,12.74,24,0.55,High School,Part-time,Married,1,No,Other,1,0
493,2X6DJ0BNFW,51,103065,207731,672,51,2,4.24,48,0.25,Master's,Self-employed,Divorced,0,No,Auto,0,0
101132,NUN9F1741L,65,141463,85939,623,108,2,18.61,36,0.26,Bachelor's,Self-employed,Married,0,No,Other,0,0
149131,G8J3QTVM8J,54,89468,217867,512,5,2,18.97,36,0.51,High School,Part-time,Married,0,Yes,Other,1,0
34650,Q7O56PFPJL,47,121824,230105,583,72,4,5.66,24,0.75,PhD,Unemployed,Single,0,Yes,Auto,1,1
66697,71CU8CW58Z,18,57110,100144,596,9,4,11.14,48,0.87,High School,Self-employed,Married,1,No,Auto,1,0
64210,9YMBBG8E7S,63,136494,226068,612,107,3,7.07,24,0.42,PhD,Self-employed,Married,1,Yes,Auto,1,0
185609,DVKK876WX4,61,69678,69375,729,7,4,13.89,60,0.53,High School,Full-time,Married,1,Yes,Business,0,0
27031,202LJVJGLO,44,119474,62369,472,82,4,3.4,36,0.88,Bachelor's,Unemployed,Married,1,Yes,Home,1,0
67578,1H5LXYRIGI,43,24770,65635,733,66,2,16.44,24,0.79,High School,Part-time,Single,1,No,Home,0,0
51834,HAAUU7DR3A,46,124497,143392,445,77,3,22.71,48,0.67,Master's,Full-time,Single,0,Yes,Home,0,0
141622,QMFNKG8OT4,57,72305,98087,664,108,3,12.6,24,0.18,PhD,Part-time,Married,0,No,Education,0,0
226297,RAA1LD9ZN9,30,45274,110939,337,7,1,15.84,60,0.8,High School,Part-time,Single,1,Yes,Other,0,0
82929,DZUCLC1AP8,40,49799,84333,836,60,4,12.71,60,0.47,High School,Self-employed,Divorced,1,No,Business,1,1
36265,NDTSEIQTK7,29,86803,171780,773,27,4,15.66,48,0.52,High School,Full-time,Single,0,No,Auto,1,1
59538,JFZZGEWC1A,61,59431,72695,604,62,1,12.19,36,0.13,PhD,Self-employed,Married,0,No,Education,1,0
177188,TI3CR24NIO,69,59698,134655,387,117,4,4.17,60,0.55,Bachelor's,Unemployed,Married,0,No,Education,1,0
100938,HLJ926E7DY,39,107105,43093,802,54,1,7.13,12,0.61,PhD,Part-time,Divorced,0,Yes,Business,0,0
153658,5NAFVBJYOH,38,104192,219683,427,96,4,22.3,24,0.47,Bachelor's,Part-time,Married,0,Yes,Auto,1,0
211381,OV4GKXLXFR,39,19316,202233,522,24,2,7.8,48,0.66,High School,Full-time,Single,0,No,Home,0,0
134294,N5AP88CTKB,34,66356,143386,512,91,1,5.34,60,0.23,Bachelor's,Unemployed,Divorced,0,No,Auto,1,0
192508,RBG9EULXTW,37,44685,213990,596,74,2,20.3,48,0.19,Bachelor's,Unemployed,Divorced,0,No,Home,1,0
173045,9O0PWTSU95,50,26772,106818,676,53,2,9.76,60,0.38,Master's,Part-time,Married,0,No,Education,0,0
245518,10TX7SHKBV,28,100111,236453,675,55,4,20.99,24,0.35,High School,Self-employed,Divorced,1,No,Auto,0,1
35289,55HQOMXDBL,25,74386,131213,824,81,2,6.1,60,0.32,Master's,Self-employed,Single,1,Yes,Business,0,0
42435,UBOM4GFZ6K,61,143283,242299,443,98,2,3.21,24,0.33,PhD,Unemployed,Single,1,Yes,Home,0,0
180732,RPQT70DLXX,32,100203,206201,672,41,2,3.76,36,0.61,High School,Unemployed,Married,1,Yes,Home,0,0
161432,ZHAXBJLC7A,45,63528,32264,377,7,4,7.6,12,0.17,PhD,Full-time,Divorced,0,Yes,Home,0,0
33630,S1SH0C6SL5,55,70484,220765,602,78,1,11.19,24,0.6,PhD,Full-time,Single,0,No,Other,1,0
104466,J5H3TGUVK8,46,90879,173950,385,91,4,12.98,24,0.87,PhD,Part-time,Married,0,No,Business,0,0
235211,JZG33E216T,23,109950,230240,386,24,3,11.78,36,0.49,PhD,Part-time,Single,1,No,Home,1,0
159470,IVJZ8I7YJ2,55,95559,211931,642,46,2,12.93,60,0.87,PhD,Unemployed,Divorced,0,Yes,Other,0,0
240424,EBP0WRKH2J,67,96765,38718,362,95,2,19.93,60,0.46,PhD,Part-time,Married,1,No,Auto,1,0
181209,U8239GBM4T,36,75314,211523,431,60,1,14.0,60,0.38,PhD,Full-time,Single,0,No,Home,1,0
25996,ECNTIJ2TNK,63,50088,80660,707,48,2,14.18,12,0.82,PhD,Part-time,Divorced,1,Yes,Education,0,0
130742,0XEDGJH0EP,62,45564,82413,741,63,4,10.32,24,0.89,PhD,Unemployed,Divorced,1,No,Auto,0,0
119508,9W5238P92V,68,96995,162787,388,47,4,6.61,48,0.4,High School,Self-employed,Single,1,Yes,Education,0,0
217509,JWOC8QL37O,32,80382,167701,339,84,3,17.36,36,0.52,High School,Self-employed,Single,1,Yes,Education,0,0
72095,4UR2VWL8UW,18,104593,18060,325,43,1,15.49,48,0.19,Bachelor's,Unemployed,Divorced,0,Yes,Business,0,0
86949,CJ5B5PEWIH,42,129962,161727,726,83,3,19.42,60,0.35,High School,Unemployed,Single,0,Yes,Education,0,0
207794,UBNTZUSRYV,55,97516,150405,338,86,2,8.01,12,0.56,PhD,Full-time,Divorced,0,No,Business,0,0
203163,2A92SI6N7P,32,71558,74331,627,94,4,4.22,36,0.42,PhD,Unemployed,Divorced,0,Yes,Business,0,0
55207,BGIO7YX9K7,31,121854,5360,801,83,3,11.21,24,0.58,PhD,Self-employed,Single,0,No,Education,0,0
242651,YLZFWEAPTQ,33,23744,219915,314,35,2,16.82,36,0.28,Bachelor's,Self-employed,Single,1,Yes,Business,0,0
234014,U5K9JG14VN,49,47734,230392,828,9,1,15.22,60,0.46,PhD,Self-employed,Single,0,No,Auto,1,0
38218,Q4M5P1T8BD,47,31869,166070,760,43,1,11.57,48,0.57,Bachelor's,Self-employed,Single,1,Yes,Other,1,0
126535,HDS3YJGMAS,51,24221,138598,370,67,1,23.32,12,0.7,High School,Part-time,Married,1,No,Other,1,0
7245,ZYBWZLD3WJ,30,116019,27301,692,4,2,16.11,60,0.87,PhD,Unemployed,Married,0,Yes,Home,1,0
74512,0EIETI2P2Y,42,19308,122164,529,67,3,5.44,48,0.36,PhD,Full-time,Single,1,Yes,Education,0,0
170431,G19CAVBZQY,45,107850,234227,640,80,4,13.69,12,0.7,Bachelor's,Self-employed,Single,0,No,Auto,0,0
24671,PEVU3A6LU0,46,24721,127765,482,11,2,9.42,60,0.3,Master's,Part-time,Married,0,Yes,Education,0,0
51609,6QF2KNOI1H,43,55704,86859,511,55,1,20.78,36,0.67,Master's,Part-time,Divorced,0,Yes,Business,1,0
103513,21D0MLQ6CO,66,60868,59581,328,94,3,6.92,36,0.26,PhD,Unemployed,Married,1,Yes,Auto,0,0
228234,6KXMPFDKBO,19,20833,83922,812,108,1,10.91,24,0.69,Bachelor's,Self-employed,Married,1,Yes,Auto,0,0
124903,6GNQCMIZNU,51,87627,175569,582,97,4,12.68,24,0.28,High School,Unemployed,Divorced,0,No,Business,1,0
200919,K0495LDU16,24,76103,121120,707,67,3,9.07,12,0.77,Master's,Unemployed,Divorced,1,Yes,Business,0,1
108804,2L3OMQWL2D,25,51573,85926,819,109,4,7.25,12,0.34,Master's,Part-time,Divorced,1,No,Home,0,0
105185,1ESJMP930E,68,48601,132465,546,87,3,14.75,48,0.56,PhD,Self-employed,Divorced,1,Yes,Auto,0,0
158104,72XKBQNMPQ,63,83599,232696,407,113,4,23.83,48,0.53,PhD,Part-time,Divorced,0,Yes,Other,1,0
129782,FX6S89Y4AK,27,134458,231681,664,14,4,13.01,24,0.85,Bachelor's,Self-employed,Single,1,No,Home,0,0
54239,TDYW2HN7T0,30,96879,120494,409,111,1,10.88,36,0.25,PhD,Part-time,Single,0,Yes,Business,1,0
123069,9DBQ7BNXE7,64,36479,23982,532,12,3,9.31,24,0.51,High School,Part-time,Single,0,No,Auto,1,0
45278,KSL19WDW4H,54,16563,34437,462,97,2,12.83,12,0.47,PhD,Part-time,Divorced,1,No,Other,1,0
191632,6DMSBCKE69,68,41238,202062,570,72,2,21.69,24,0.65,Bachelor's,Self-employed,Divorced,1,No,Business,0,1
189337,D8CJVRZ1YW,30,68885,176389,699,23,2,16.42,36,0.59,Master's,Self-employed,Divorced,1,No,Education,1,1
115584,WCB4F6UJM0,51,92351,199008,595,9,3,6.01,36,0.71,Bachelor's,Full-time,Divorced,1,No,Other,1,0
79357,S0YNXLI1Y1,21,149792,90299,503,63,4,20.36,12,0.32,Master's,Unemployed,Single,0,No,Other,0,0
80227,LEYVJSBPSR,21,125778,197500,718,4,2,7.78,12,0.1,Bachelor's,Full-time,Divorced,0,No,Education,1,0
58797,DU5C8RYP5W,46,137973,189906,555,57,2,11.79,48,0.59,Bachelor's,Unemployed,Divorced,0,Yes,Education,1,1
254395,76DU2MOLW2,41,73063,211684,457,28,4,5.97,12,0.65,PhD,Self-employed,Single,1,No,Home,0,0
98287,G8U5V0IOAB,40,148267,33441,768,94,4,20.33,60,0.4,PhD,Part-time,Married,0,No,Other,0,0
253005,862YI2U7OM,54,122235,119811,356,111,1,17.29,36,0.83,Master's,Unemployed,Single,0,No,Business,0,0
107115,I6LO6PX0ZH,35,119873,97582,397,102,1,8.99,36,0.17,Bachelor's,Part-time,Single,0,Yes,Education,0,0
249057,SURHX0KR2W,42,51537,168261,343,83,4,6.95,24,0.48,High School,Self-employed,Single,0,No,Home,0,0
238218,3L9V3200MG,33,56235,114776,362,91,2,18.06,60,0.78,Master's,Full-time,Single,1,No,Business,1,0
206170,3WG7Y8586Q,27,147483,81114,391,14,2,21.74,36,0.8,Master's,Part-time,Single,0,No,Business,1,1
8315,1KWTFJUVSW,62,106995,39136,692,36,3,24.82,60,0.88,High School,Part-time,Single,1,No,Auto,0,0
141295,SZULBO7HNW,57,140993,23850,637,98,3,9.27,36,0.19,Bachelor's,Self-employed,Divorced,0,Yes,Home,1,0
163994,ZP4UOF2M96,64,103641,246909,637,25,1,16.33,12,0.66,High School,Full-time,Divorced,1,No,Auto,0,0
233045,TYOALZ4SRK,21,79987,9089,605,30,1,16.8,24,0.57,Master's,Unemployed,Single,0,No,Business,1,0
8479,2Z578Y0CMK,32,51735,151492,848,119,2,2.3,48,0.22,PhD,Unemployed,Married,1,Yes,Business,1,0
131028,JG26C31ISP,35,119028,166554,519,93,1,8.1,36,0.28,Bachelor's,Self-employed,Married,1,No,Home,0,0
177007,Q3NSJ86BUO,31,116904,203497,437,74,2,2.87,24,0.74,Bachelor's,Part-time,Married,0,Yes,Business,1,0
169500,QIBF4LLHFM,51,121477,184898,554,99,3,7.24,12,0.29,Bachelor's,Part-time,Divorced,1,No,Home,1,0
105357,E6UWC6EM7Q,65,117501,215767,580,75,2,9.18,36,0.32,Master's,Part-time,Single,0,Yes,Home,0,0
158795,MZ3ODCGZJH,68,44096,189438,302,114,2,13.54,36,0.68,Bachelor's,Self-employed,Single,0,No,Business,1,0
120557,N96TDK27SB,47,88046,194272,625,101,3,20.81,36,0.72,PhD,Self-employed,Single,1,Yes,Other,0,0
83670,4SHZBFEWFZ,23,66481,119273,774,102,3,21.5,12,0.44,PhD,Part-time,Married,0,Yes,Other,0,0
25242,N4NEF67T5O,32,64574,100868,574,55,4,23.79,48,0.49,PhD,Self-employed,Divorced,1,Yes,Home,1,0
222278,6A8NQA7ISM,45,118095,66110,631,43,2,17.09,48,0.29,Bachelor's,Self-employed,Divorced,1,Yes,Business,0,0
124548,2JE5B3PNI9,58,98000,161769,700,111,3,6.87,36,0.58,PhD,Part-time,Single,1,No,Education,0,0
7119,OCFO7Z5JBR,63,82801,204157,720,53,1,7.13,24,0.15,PhD,Full-time,Married,1,No,Education,0,0
212035,MV8RUUKL58,22,126649,209072,753,11,1,22.36,48,0.39,High School,Full-time,Single,0,No,Business,0,0
7852,Y6DARRFLZE,32,84624,37878,823,14,2,2.59,60,0.64,Bachelor's,Self-employed,Single,1,Yes,Home,1,0
239743,D3AVFR02KV,30,110772,154748,555,110,3,16.82,24,0.86,PhD,Part-time,Single,0,Yes,Auto,0,0
69594,LOK2Q96VM2,26,39239,13240,828,37,2,13.0,36,0.38,Master's,Unemployed,Divorced,1,No,Other,1,0
114163,JAHLBGISC4,30,41672,84967,834,15,2,13.05,24,0.25,Master's,Full-time,Married,0,Yes,Business,0,0
204490,XSVEOOTZAN,19,143602,109980,648,2,4,11.33,24,0.31,Bachelor's,Unemployed,Married,1,Yes,Auto,0,0
186753,SLIZIH1O3L,61,92160,141253,645,118,2,2.12,12,0.15,High School,Unemployed,Single,1,No,Business,1,0
46674,6BXJ1L5LW1,49,62643,59217,647,99,1,2.88,12,0.61,Master's,Full-time,Married,1,No,Business,0,0
169919,XZ8PSGJGUH,52,68604,137843,513,54,1,7.37,24,0.79,High School,Part-time,Married,0,Yes,Auto,1,0
126610,AH4B0PKYX6,39,70875,237918,765,42,2,17.48,48,0.85,Master's,Self-employed,Married,1,Yes,Home,0,0
244893,5I4KA2YY4Q,66,136198,146210,487,106,1,7.49,12,0.29,Master's,Unemployed,Married,0,No,Auto,0,0
114227,GB08WUD7BA,21,58675,243633,560,117,3,18.05,12,0.34,High School,Part-time,Married,0,No,Education,1,0
65069,Z166W7T0QY,45,22500,33123,636,103,4,4.94,48,0.61,Bachelor's,Unemployed,Single,0,No,Business,0,0
86335,3KUJO8KJ0T,69,20680,129310,597,106,3,24.06,24,0.52,Master's,Unemployed,Married,0,Yes,Business,0,0
239625,6UZW4PJAFQ,36,26118,141913,445,102,2,4.32,60,0.63,Bachelor's,Self-employed,Married,1,No,Home,1,0
107094,2B3B77KH4S,60,19455,34110,781,102,1,16.09,60,0.31,Bachelor's,Unemployed,Divorced,0,Yes,Other,0,1
159674,M80VEBXC0S,34,85808,177058,465,101,4,13.67,60,0.49,Master's,Part-time,Married,1,No,Business,0,0
137011,F90JAVJSR7,52,47031,235843,344,3,2,9.72,60,0.51,Bachelor's,Full-time,Married,1,Yes,Auto,0,0
138972,FO9WX8EAKJ,19,27968,111920,591,111,1,14.54,24,0.51,High School,Full-time,Single,0,Yes,Home,0,0
184144,NCVK68FAO7,62,119964,221250,603,41,2,9.55,36,0.41,PhD,Self-employed,Divorced,0,Yes,Business,1,0
233409,2FMC6MM0W6,47,80473,108755,722,44,2,5.59,60,0.81,Master's,Unemployed,Married,0,Yes,Auto,1,0
145110,S8IXBSD781,38,78059,234774,582,52,1,12.91,24,0.73,High School,Part-time,Single,0,Yes,Education,1,1
119329,ITFLXDWCMT,39,79639,126167,379,43,1,17.74,12,0.35,PhD,Full-time,Single,1,Yes,Auto,1,0
222990,IV32JQJTWH,18,135718,83541,503,5,3,20.68,36,0.46,Master's,Full-time,Married,1,No,Business,1,0
148681,N6UM4T9HCI,32,35716,163557,808,86,1,9.29,12,0.14,Bachelor's,Self-employed,Married,0,No,Auto,1,0
7067,9YDBIQ0QLK,24,18909,102029,820,96,1,10.78,12,0.67,High School,Part-time,Married,1,No,Education,0,0
79474,PETLQBRBVL,46,102201,163699,751,113,4,8.87,48,0.79,Master's,Part-time,Divorced,0,No,Education,1,0
156661,JF4B07SCZ3,35,55765,43332,759,48,3,20.92,48,0.37,Bachelor's,Self-employed,Married,0,Yes,Home,0,0
23378,W4OGFWN0HK,38,66720,154586,835,6,4,9.73,24,0.83,High School,Unemployed,Married,1,Yes,Education,1,0
94365,HLH0FWP9WJ,50,123567,52444,527,112,2,11.86,12,0.49,Master's,Full-time,Divorced,1,No,Other,1,0
205938,HHYX9LJ7JH,65,67215,123186,523,16,1,3.88,60,0.85,Bachelor's,Unemployed,Married,1,Yes,Education,1,0
210021,DOCNFWV1D0,36,103987,77613,372,106,2,4.31,36,0.36,High School,Unemployed,Married,1,Yes,Home,1,0
107289,CN6OIKWJIM,61,97684,176739,742,111,4,19.02,36,0.43,PhD,Unemployed,Married,0,No,Business,0,0
161381,793X57NCVT,22,98310,242102,513,69,3,18.82,36,0.18,PhD,Self-employed,Single,0,No,Education,0,1
131847,C0RHFZHS6D,53,82879,46892,630,54,4,2.78,60,0.84,PhD,Full-time,Single,0,No,Other,1,0
102684,BOMCZFZIAV,32,103242,120204,458,109,2,6.78,36,0.21,High School,Self-employed,Single,1,Yes,Education,0,0
83659,W8XEBIQD0D,22,66136,119553,367,118,1,8.53,24,0.62,Bachelor's,Unemployed,Single,1,Yes,Auto,1,0
166739,NG2AX2DFKO,35,19557,54157,518,20,4,3.37,48,0.61,Bachelor's,Full-time,Married,1,Yes,Auto,0,0
102781,7E0LH3R7Y9,25,76985,86898,472,8,3,19.38,12,0.31,Master's,Part-time,Divorced,1,No,Other,0,0
69074,5JOZSCM93W,66,134118,134263,522,56,2,20.31,12,0.71,Master's,Part-time,Divorced,1,No,Home,0,0
229062,SUGU1SMA74,68,125499,232379,385,112,2,18.23,60,0.55,High School,Part-time,Divorced,0,Yes,Home,0,0
105286,VMIH9DHA2J,21,42059,248820,708,91,4,16.72,48,0.51,Bachelor's,Full-time,Married,0,Yes,Auto,0,0
196539,SROUKQQJL7,65,130238,227385,684,19,4,16.6,48,0.88,Master's,Unemployed,Married,0,Yes,Education,1,0
23796,7U8IFUW7TZ,33,135447,106217,379,104,3,15.11,36,0.34,PhD,Self-employed,Single,0,No,Education,0,0
5232,B8M9Z56Q4Z,25,25523,92541,811,3,2,13.56,12,0.18,Master's,Self-employed,Married,0,No,Education,1,0
247154,5PV4VMEHBF,42,66456,173089,493,108,1,4.88,12,0.27,High School,Part-time,Married,0,No,Auto,0,0
145885,V674MFGABK,39,89683,68072,653,78,1,21.34,12,0.46,Master's,Unemployed,Single,1,No,Home,1,0
128711,D6KD5A3L80,61,33113,237758,820,104,4,24.6,24,0.78,PhD,Full-time,Divorced,0,Yes,Home,0,0
215442,3N9127XKBK,25,43901,213354,499,109,1,6.64,24,0.68,PhD,Self-employed,Married,0,No,Business,1,0
191712,L5BCEEEOTI,33,40495,160608,625,27,4,7.22,36,0.66,PhD,Full-time,Married,0,Yes,Education,1,0
22856,9ZMDI0MJYW,65,43128,194110,670,12,4,19.24,24,0.63,PhD,Part-time,Single,1,Yes,Education,0,0
192935,GVSFXTRHGT,20,86083,154970,832,5,1,8.74,24,0.33,PhD,Unemployed,Divorced,0,No,Other,0,0
152975,KMJAKO8USB,55,78592,182074,499,50,3,23.36,12,0.67,PhD,Self-employed,Married,0,Yes,Other,0,0
29069,BNPGSMS0LL,67,84722,16143,407,66,4,6.13,60,0.54,Master's,Part-time,Single,1,No,Auto,1,0
185089,40036ZLCPW,26,116935,181639,720,80,2,20.83,24,0.48,Bachelor's,Part-time,Divorced,1,Yes,Home,0,0
238951,BZ60OE5JF9,56,107649,114279,369,40,2,24.62,60,0.87,Master's,Full-time,Single,0,No,Other,0,0
67370,R5K5Q933DB,21,82703,39024,734,82,1,21.8,12,0.3,PhD,Unemployed,Divorced,0,No,Home,0,0
110993,RLLM9UHMM8,56,89689,197857,306,45,4,17.36,12,0.42,PhD,Self-employed,Married,1,Yes,Home,1,1
99634,MNE7EXMXPS,41,129345,148455,757,71,3,11.11,36,0.35,High School,Full-time,Single,0,No,Business,1,0
147772,OTB2A5IDGX,24,43341,239760,797,10,4,9.2,60,0.41,PhD,Unemployed,Divorced,1,No,Business,0,0
80017,QHRWYCCKTA,29,102015,49937,389,30,4,24.07,24,0.32,High School,Unemployed,Single,0,No,Other,0,1
233203,E04C82ENIE,41,69620,41343,582,0,3,21.85,48,0.48,Master's,Full-time,Married,0,Yes,Business,1,0
111664,GV70MJIQJR,24,30558,193830,801,55,2,18.13,48,0.32,High School,Self-employed,Married,0,Yes,Home,0,0
22204,TTZ630SW31,31,67886,11950,811,63,1,14.11,36,0.48,Bachelor's,Part-time,Single,1,No,Home,1,0
64393,XG3EJS6NQN,25,141960,42235,319,70,3,10.02,12,0.24,PhD,Full-time,Married,1,Yes,Other,0,0
151761,0K7UYMF73E,40,80466,217477,722,62,3,13.1,48,0.87,Bachelor's,Full-time,Divorced,0,No,Other,0,0
221158,SQ4SFFSX50,27,136711,33576,402,78,4,10.04,48,0.56,High School,Full-time,Married,1,Yes,Auto,0,0
191552,V6XBI0WS7D,58,91341,95308,657,86,3,21.84,48,0.31,High School,Full-time,Married,1,Yes,Business,1,0
213332,ZM5GYLHWE2,27,137392,87835,512,45,1,20.81,24,0.34,PhD,Unemployed,Married,1,Yes,Education,0,0
114429,F04YFKU0JV,48,25803,170843,387,113,2,19.78,48,0.34,PhD,Full-time,Single,1,Yes,Auto,0,0
74630,8KDMXFUOK4,49,136557,90183,507,21,4,2.08,24,0.48,PhD,Full-time,Divorced,1,Yes,Home,1,0
